Unnamed: 0,course_name,course_url,course_photo,course_level,course_effort,course_length,course_language,course_subtitle,course_price,course_partner,university_link,course_enrollments,subject,title,rating,number_of_ratings,number_of_students,price
1632,Shared Decision Makingand InterprofessionalCollaboration in Health……,https://www.edx.org/course/shared-decision-making-and-interprofessional-colla,https://prod-discovery.edx-cdn.org/media/course/image/3f8841fa-0a84-4151-a135-5677aec8ebd3-740353092d44.jpg,['Introductory'],['2–4 hours per week'],['6 Weeks'],['English'],['English'],['$60 USD'],['The Hong Kong Polytechnic University'],['https://www.edx.org/school/hkpolyux'],not-mentioned,Health & Safety,HKPolyUx: Shared Decision Making and Interprofessional Collaboration in Health Care,None,None,Unknown,60
1633,"Health Law, Policy, andAdvocacy…",https://www.edx.org/course/health-law-policy-and-advocacy,https://prod-discovery.edx-cdn.org/media/course/image/9f3818e4-9ad1-48a0-a188-d98e9d589304-6afa69e2b698.jpg,['Intermediate'],['5–10 hours per week'],['5 Weeks'],['English'],['English'],['$199 USD'],['Doane University'],['https://www.edx.org/school/doanex'],"6,565",None,None,None,None,None,None
1634,Applying Health Coachingin Patient Care…,https://www.edx.org/course/applying-health-coaching-in-patient-care,https://prod-discovery.edx-cdn.org/media/course/image/8db1cffe-6f2c-4215-a521-b7063c0629c6-96cf395c42a5.jpg,['Introductory'],['5–10 hours per week'],['3 Weeks'],['English'],['English'],['$199 USD'],['Doane University'],['https://www.edx.org/school/doanex'],not-mentioned,Medicine,DoaneX: Applying Health Coaching in Patient Care,4.6,10,7871,249
1635,Strategic Leadership inHealthcare…,https://www.edx.org/course/strategic-leadership-in-healthcare,https://prod-discovery.edx-cdn.org/media/course/image/201cf432-207a-4861-87bf-c8c8e40ebfec-9ca3025f4f86.jpg,['Intermediate'],['5–10 hours per week'],['5 Weeks'],['English'],['English'],['$199 USD'],['Doane University'],['https://www.edx.org/school/doanex'],"6,447",None,None,None,None,None,None
1636,Trasplante de órganos:desafíos éticos y jurídicos…,https://www.edx.org/course/trasplante-de-organos-desafios-eticos-y-juridicos,https://prod-discovery.edx-cdn.org/media/course/image/a8574ab2-6e09-42ef-81ab-85cb5717506d-b5eac00865e1.jpg,['Intermediate'],['4–6 hours per week'],['9 Weeks'],['Español'],"['English, Español']",['$29 USD'],['Universidad Autónoma de Madrid'],['https://www.edx.org/school/uamx'],"8,596",Medicine,UAMx: Trasplante de órganos: desafíos éticos y jurídicos,None,None,13941,29
1637,What Every ProviderShould Know: ClinicalFundamentals…,https://www.edx.org/course/what-every-provider-should-know-clinical-fundamentals,https://prod-discovery.edx-cdn.org/media/course/image/7fd15a6e-248b-4ca9-81ed-1a1a2c7b2089-eb8796753714.jpeg,['Introductory'],['4–6 hours per week'],['10 Weeks'],['English'],['English'],['$50 USD'],['Stanford University'],['https://www.edx.org/school/stanfordonline'],not-mentioned,None,None,None,None,None,None
1638,Overview & Managementof Parkinson’s Disease…,https://www.edx.org/course/overview-management-of-parkinsons-disease-2,https://prod-discovery.edx-cdn.org/media/course/image/78d1455a-a88d-49f5-8121-8ba565107b93-fef1295b35c4.jpg,['Intermediate'],['2–3 hours per week'],['5 Weeks'],['English'],['English'],['$49 USD'],"['Salisbury University', 'University System of Maryland']","['https://www.edx.org/school/su', 'https://www.edx.org/school/usmx']",not-mentioned,Medicine,"SU, USMx: Overview & Management of Parkinson’s Disease",None,None,Unknown,49
1639,Gateway to Medicine: AnIntroduction to the Fieldof Medicine | 走近医学…,https://www.edx.org/course/gateway-to-medicine-an-introduction-to-the-field-o,https://prod-discovery.edx-cdn.org/media/course/image/04dd6f6c-23c8-4a0e-854d-f13401d53ba5-7ffc0d58ea2b.jpg,['Introductory'],['1–3 hours per week'],['10 Weeks'],['中文'],"['English, 中文']",['$139 USD'],['Tsinghua University'],['https://www.edx.org/school/tsinghuax'],"7,081",Medicine,TsinghuaX: Gateway to Medicine: An Introduction to the Field of Medicine | 走近医学,None,None,9458,179
1640,La maladie d’Alzheimer:tout ce que vous aveztoujours voulu savoir…,https://www.edx.org/course/la-maladie-dalzheimer-tout-ce-que-vous-avez-toujou,https://prod-discovery.edx-cdn.org/media/course/image/eae02024-6b85-494f-aaea-925c8f231439-197b35c256fb.png,['Introductory'],['1–2 hours per week'],['6 Weeks'],['Français'],"['English, Español, Français, Italiano']",['$49 USD'],['Sorbonne Université'],['https://www.edx.org/school/sorbonnex'],"10,153",Medicine,SorbonneX: La maladie d’Alzheimer: tout ce que vous avez toujours voulu savoir,None,None,Unknown,49
1641,Lifestyle MedicineTreatments of ChronicDisease – Part 2…,https://www.edx.org/course/lifestyle-medicine-treatments-of-chronic-disease-2,https://prod-discovery.edx-cdn.org/media/course/image/4e0a7fcb-b6a7-4567-ab6d-3ac22591b55c-dffc0a6d6774.jpg,['Intermediate'],['10–15 hours per week'],['2 Weeks'],['English'],['English'],['$179 USD'],['Doane University'],['https://www.edx.org/school/doanex'],not-mentioned,Medicine,DoaneX: Lifestyle Medicine Treatments of Chronic Disease – Part 2,None,None,5254,219
1642,Know HBV And HCV…,https://www.edx.org/course/know-hbv-and-hcv,https://prod-discovery.edx-cdn.org/media/course/image/ddca10f0-ddfc-40b8-9373-b01f822f4c1c-03dc7eeaad1e.jpeg,['Introductory'],['1–5 hours per week'],['1 Weeks'],['English'],['English'],['$50 USD'],['Stanford University'],['https://www.edx.org/school/stanfordonline'],not-mentioned,Medicine,StanfordOnline: Know HBV And HCV,None,None,Unknown,50
