course_title,url,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,rating,number_of_ratings,update_date,number_of_students,time_since_creation
Trading News Using Binary Options,https://www.udemy.com/trading-news/,145,1186,16,22,All Levels,1.5,2016-05-11T18:15:50Z,Finance & Accounting,3.9,41.0,8/2017,1339.0,8
Trading Trends in ANY Market,https://www.udemy.com/trading-trends-in-the-market-stocks-futures-forex/,30,632,49,22,All Levels,2.0,2015-10-04T18:43:16Z,Finance & Accounting,4.0,69.0,12/2017,715.0,9
Financial Statements Analysis: Learn to Invest Like a Pro!,https://www.udemy.com/financial-statements-and-ratios-for-beginner-investors/,50,1237,54,35,Beginner Level,2.5,2016-02-04T17:03:14Z,Finance & Accounting,4.4,101.0,3/2016,1464.0,8
Contango VXX - ETF Options Trading - VIX Implied Volatility,https://www.udemy.com/contango-vxx-trading-idiot-proof-way-to-double-your-return/,200,513,20,20,All Levels,1.0,2016-10-06T15:10:38Z,Finance & Accounting,4.1,54.0,1/2019,795.0,8
TRADING MARKET MAP,https://www.udemy.com/trading-market-map/,45,1489,32,27,All Levels,3.5,2015-07-01T16:25:45Z,Finance & Accounting,2.7,35.0,2/2016,1639.0,9
"Technical Analysis Masterclass: Trade Stocks, Forex & Metals",https://www.udemy.com/motrendtum-high-probability-trading/,95,353,27,105,All Levels,18.5,2016-12-01T17:36:07Z,Finance & Accounting,4.1,204.0,2/2022,1793.0,8
Options Trading for Rookies: Make & Manage Profitable Trades,https://www.udemy.com/option-trading-for-rookies-make-and-manage-profitable-option-trades/,95,507,19,59,All Levels,2.0,2016-09-02T22:19:00Z,Finance & Accounting,4.3,1218.0,4/2024,11057.0,8
Forex Trading: The Complete Guide for Beginners,https://www.udemy.com/success-forex/,200,1079,34,16,All Levels,2.5,2015-05-26T20:48:48Z,Finance & Accounting,3.2,159.0,6/2015,18301.0,9
Financial Accounting - The Ultimate Beginner Course,https://www.udemy.com/financial-accounting-the-ultimate-beginner-course/,100,9,2,101,Beginner Level,10.0,2017-04-06T00:39:12Z,Finance & Accounting,4.5,132.0,3/2019,606.0,7
Year-end Cleanup in QBO (2023),https://www.udemy.com/year-end-quickbooks-procedures/,20,51,2,10,Beginner Level,2.0,2015-02-19T22:08:53Z,Finance & Accounting,4.4,20.0,9/2023,141.0,9
